id,loan_amnt,int_rate,term_months,grade,sub_grade,emp_length_years,home_ownership,annual_inc,verification_status,purpose,addr_state,dti,issue_date,issue_year,issue_month,loan_status,is_default
14,6500,17.97,36.0,D,D1,4.0,MORTGAGE,154000.0,Source Verified,debt_consolidation,NC,28.78,2018-12-01,2018,2018-12,Current,0
15,22000,12.98,60.0,B,B5,10.0,MORTGAGE,65000.0,Source Verified,debt_consolidation,KY,11.19,2018-12-01,2018,2018-12,Current,0
16,3500,16.14,36.0,C,C4,10.0,MORTGAGE,80000.0,Verified,debt_consolidation,IL,13.63,2018-12-01,2018,2018-12,Current,0
17,7000,12.98,36.0,B,B5,4.0,MORTGAGE,102500.0,Not Verified,house,OH,15.2,2018-12-01,2018,2018-12,Current,0
18,25000,16.91,60.0,C,C5,10.0,MORTGAGE,23878.0,Not Verified,debt_consolidation,OH,6.26,2018-12-01,2018,2018-12,Current,0
19,16000,20.89,60.0,D,D4,4.0,MORTGAGE,120000.0,Not Verified,credit_card,AR,27.57,2018-12-01,2018,2018-12,Current,0
20,13000,14.47,60.0,C,C2,10.0,MORTGAGE,75000.0,Not Verified,debt_consolidation,OK,26.16,2018-12-01,2018,2018-12,Current,0
21,10000,13.56,36.0,C,C1,0.0,MORTGAGE,65000.0,Not Verified,credit_card,CA,10.62,2018-12-01,2018,2018-12,Current,0
22,13000,14.47,36.0,C,C2,10.0,MORTGAGE,55000.0,Verified,credit_card,IL,10.58,2018-12-01,2018,2018-12,Current,0
23,9600,23.4,36.0,E,E1,9.0,RENT,65000.0,Not Verified,credit_card,WV,23.01,2018-12-01,2018,2018-12,Current,0
24,3500,20.89,36.0,D,D4,10.0,MORTGAGE,40000.0,Source Verified,car,NJ,9.09,2018-12-01,2018,2018-12,Current,0
25,16000,26.31,60.0,E,E4,0.0,RENT,33000.0,Source Verified,credit_card,SC,33.62,2018-12-01,2018,2018-12,Current,0
26,15000,14.47,60.0,C,C2,,MORTGAGE,30000.0,Source Verified,debt_consolidation,TX,41.6,2018-12-01,2018,2018-12,Current,0
27,13000,23.4,36.0,E,E1,2.0,MORTGAGE,90000.0,Verified,other,PA,39.73,2018-12-01,2018,2018-12,Current,0
28,23000,20.89,60.0,D,D4,5.0,RENT,68107.0,Source Verified,debt_consolidation,KS,0.52,2018-12-01,2018,2018-12,Current,0
29,8000,23.4,36.0,E,E1,10.0,OWN,43000.0,Source Verified,debt_consolidation,AL,33.24,2018-12-01,2018,2018-12,Current,0
30,32075,11.8,60.0,B,B4,10.0,MORTGAGE,150000.0,Not Verified,credit_card,VA,22.21,2018-12-01,2018,2018-12,Current,0
31,12000,13.56,60.0,C,C1,0.0,MORTGAGE,40000.0,Not Verified,debt_consolidation,PA,19.23,2018-12-01,2018,2018-12,Current,0
32,10000,19.92,60.0,D,D3,10.0,MORTGAGE,80000.0,Not Verified,debt_consolidation,MO,20.67,2018-12-01,2018,2018-12,Current,0
33,16000,17.97,60.0,D,D1,5.0,MORTGAGE,51000.0,Not Verified,debt_consolidation,NC,21.91,2018-12-01,2018,2018-12,Current,0
34,3300,23.4,36.0,E,E1,3.0,RENT,49700.0,Source Verified,vacation,GA,14.32,2018-12-01,2018,2018-12,Current,0
35,20000,11.8,60.0,B,B4,,MORTGAGE,47590.0,Verified,credit_card,PA,9.53,2018-12-01,2018,2018-12,Current,0
36,3500,20.89,36.0,D,D4,10.0,RENT,33190.0,Source Verified,credit_card,AZ,19.71,2018-12-01,2018,2018-12,Current,0
37,12000,26.31,36.0,E,E4,5.0,OWN,19000.0,Not Verified,credit_card,IL,35.88,2018-12-01,2018,2018-12,Current,0
38,10000,20.89,36.0,D,D4,7.0,RENT,74000.0,Not Verified,credit_card,NY,11.21,2018-12-01,2018,2018-12,Current,0
39,6000,6.46,36.0,A,A1,1.0,MORTGAGE,40000.0,Source Verified,credit_card,TX,12.87,2018-12-01,2018,2018-12,Current,0
40,25000,27.27,60.0,E,E5,5.0,MORTGAGE,171000.0,Not Verified,credit_card,WA,14.66,2018-12-01,2018,2018-12,Current,0
41,20000,12.98,36.0,B,B5,5.0,RENT,74800.0,Not Verified,debt_consolidation,IL,23.5,2018-12-01,2018,2018-12,Current,0
42,2200,15.02,36.0,C,C3,,RENT,70000.0,Not Verified,debt_consolidation,NM,14.16,2018-12-01,2018,2018-12,Current,0
43,25000,17.97,60.0,D,D1,7.0,RENT,53000.0,Verified,debt_consolidation,AL,12.64,2018-12-01,2018,2018-12,Current,0
44,4000,11.8,36.0,B,B4,,RENT,20000.0,Not Verified,debt_consolidation,PA,12.24,2018-12-01,2018,2018-12,Current,0
45,1250,23.4,36.0,E,E1,10.0,RENT,52000.0,Source Verified,other,IN,9.9,2018-12-01,2018,2018-12,Current,0
46,10400,12.98,36.0,B,B5,10.0,MORTGAGE,56099.0,Source Verified,credit_card,CO,20.92,2018-12-01,2018,2018-12,Current,0
47,7500,11.8,36.0,B,B4,,MORTGAGE,32700.0,Not Verified,debt_consolidation,AR,28.26,2018-12-01,2018,2018-12,Current,0
48,7000,10.72,36.0,B,B2,0.0,MORTGAGE,97000.0,Source Verified,other,VA,33.17,2018-12-01,2018,2018-12,Current,0
49,25000,12.98,36.0,B,B5,,OWN,30000.0,Not Verified,debt_consolidation,RI,24.88,2018-12-01,2018,2018-12,Current,0
50,8000,11.8,36.0,B,B4,7.0,MORTGAGE,85000.0,Not Verified,credit_card,AL,23.61,2018-12-01,2018,2018-12,Current,0
51,9000,10.33,36.0,B,B1,4.0,MORTGAGE,75000.0,Not Verified,credit_card,WI,13.14,2018-12-01,2018,2018-12,Current,0
52,9600,15.02,36.0,C,C3,10.0,OWN,60000.0,Not Verified,debt_consolidation,NJ,32.64,2018-12-01,2018,2018-12,Current,0
53,8000,10.72,36.0,B,B2,10.0,MORTGAGE,82923.0,Source Verified,car,CO,18.55,2018-12-01,2018,2018-12,Current,0
54,12000,16.14,36.0,C,C4,6.0,RENT,24000.0,Source Verified,credit_card,AZ,23.55,2018-12-01,2018,2018-12,Current,0
55,20000,13.56,36.0,C,C1,9.0,MORTGAGE,40000.0,Verified,debt_consolidation,CT,31.02,2018-12-01,2018,2018-12,Current,0
56,40000,14.47,60.0,C,C2,0.0,MORTGAGE,500000.0,Source Verified,debt_consolidation,GA,13.47,2018-12-01,2018,2018-12,Current,0
57,14400,14.47,60.0,C,C2,3.0,RENT,110000.0,Not Verified,debt_consolidation,CA,10.83,2018-12-01,2018,2018-12,Current,0
58,22400,8.81,36.0,A,A5,2.0,MORTGAGE,30000.0,Source Verified,debt_consolidation,CT,43.32,2018-12-01,2018,2018-12,Current,0
59,25000,10.33,36.0,B,B1,2.0,OWN,78000.0,Not Verified,debt_consolidation,TN,25.67,2018-12-01,2018,2018-12,Current,0
60,26000,18.94,60.0,D,D2,10.0,MORTGAGE,40000.0,Source Verified,debt_consolidation,MI,20.61,2018-12-01,2018,2018-12,Current,0
61,25000,15.02,60.0,C,C3,10.0,MORTGAGE,63500.0,Verified,debt_consolidation,NC,27.52,2018-12-01,2018,2018-12,Current,0
62,1000,30.75,36.0,F,F5,,MORTGAGE,50000.0,Verified,other,IL,19.9,2018-12-01,2018,2018-12,Current,0
63,2000,8.19,36.0,A,A4,4.0,MORTGAGE,100000.0,Not Verified,credit_card,PA,16.42,2018-12-01,2018,2018-12,Current,0
64,9000,6.46,36.0,A,A1,10.0,MORTGAGE,35000.0,Source Verified,debt_consolidation,CT,32.65,2018-12-01,2018,2018-12,Current,0
65,20000,13.56,36.0,C,C1,10.0,MORTGAGE,98500.0,Source Verified,debt_consolidation,CA,9.06,2018-12-01,2018,2018-12,Current,0
66,29450,8.19,36.0,A,A4,10.0,MORTGAGE,161000.0,Source Verified,debt_consolidation,CA,10.99,2018-12-01,2018,2018-12,Current,0
67,34625,16.14,60.0,C,C4,10.0,MORTGAGE,137500.0,Source Verified,debt_consolidation,TX,27.88,2018-12-01,2018,2018-12,Current,0
68,31450,7.56,36.0,A,A3,7.0,MORTGAGE,130000.0,Verified,debt_consolidation,NV,9.29,2018-12-01,2018,2018-12,Current,0
69,15500,10.72,36.0,B,B2,10.0,RENT,52000.0,Not Verified,credit_card,CA,16.66,2018-12-01,2018,2018-12,Current,0
70,12000,11.8,36.0,B,B4,10.0,RENT,79365.0,Source Verified,debt_consolidation,NY,29.7,2018-12-01,2018,2018-12,Current,0
71,36000,17.97,60.0,D,D1,9.0,RENT,160000.0,Source Verified,debt_consolidation,MA,33.17,2018-12-01,2018,2018-12,Current,0
72,30000,16.14,36.0,C,C4,7.0,MORTGAGE,116000.0,Source Verified,debt_consolidation,TX,28.21,2018-12-01,2018,2018-12,Current,0
73,3000,17.97,36.0,D,D1,10.0,RENT,50000.0,Source Verified,debt_consolidation,NY,30.03,2018-12-01,2018,2018-12,Current,0
74,35000,12.98,36.0,B,B5,2.0,RENT,112000.0,Source Verified,debt_consolidation,IL,15.55,2018-12-01,2018,2018-12,Current,0
75,26500,11.31,60.0,B,B3,10.0,MORTGAGE,134000.0,Source Verified,credit_card,OK,18.91,2018-12-01,2018,2018-12,Current,0
76,4000,23.4,36.0,E,E1,3.0,RENT,90000.0,Source Verified,debt_consolidation,NJ,26.33,2018-12-01,2018,2018-12,Current,0
77,12000,22.35,60.0,D,D5,0.0,OWN,65000.0,Source Verified,credit_card,IL,13.05,2018-12-01,2018,2018-12,Current,0
78,3000,15.02,36.0,C,C3,4.0,MORTGAGE,60000.0,Source Verified,home_improvement,NY,21.36,2018-12-01,2018,2018-12,Current,0
79,8000,14.47,36.0,C,C2,4.0,RENT,42300.0,Not Verified,credit_card,KY,19.49,2018-12-01,2018,2018-12,Current,0
80,10250,10.72,36.0,B,B2,10.0,MORTGAGE,96000.0,Not Verified,debt_consolidation,CA,8.31,2018-12-01,2018,2018-12,Current,0
81,22400,16.14,60.0,C,C4,10.0,OWN,56000.0,Source Verified,credit_card,VA,18.47,2018-12-01,2018,2018-12,Current,0
82,27000,15.02,60.0,C,C3,10.0,MORTGAGE,45000.0,Source Verified,debt_consolidation,MO,23.55,2018-12-01,2018,2018-12,Current,0
83,24000,19.92,36.0,D,D3,7.0,RENT,30000.0,Verified,credit_card,TX,67.68,2018-12-01,2018,2018-12,Current,0
84,6500,10.72,36.0,B,B2,0.0,RENT,50000.0,Not Verified,debt_consolidation,CA,24.29,2018-12-01,2018,2018-12,Current,0
85,25000,16.91,36.0,C,C5,10.0,RENT,95000.0,Source Verified,debt_consolidation,CA,13.78,2018-12-01,2018,2018-12,Current,0
86,8000,10.72,36.0,B,B2,2.0,RENT,95000.0,Not Verified,credit_card,IL,10.47,2018-12-01,2018,2018-12,Current,0
87,21000,15.02,60.0,C,C3,5.0,OWN,50000.0,Source Verified,debt_consolidation,OH,0.0,2018-12-01,2018,2018-12,Current,0
88,10000,14.47,36.0,C,C2,10.0,RENT,47000.0,Source Verified,credit_card,NC,15.25,2018-12-01,2018,2018-12,Current,0
89,7500,16.14,36.0,C,C4,10.0,OWN,50000.0,Source Verified,home_improvement,NC,16.11,2018-12-01,2018,2018-12,Current,0
90,30000,16.91,36.0,C,C5,10.0,RENT,40000.0,Verified,debt_consolidation,NJ,16.44,2018-12-01,2018,2018-12,Current,0
91,3775,13.56,36.0,C,C1,,OWN,5000.0,Source Verified,home_improvement,KY,66.86,2018-12-01,2018,2018-12,Current,0
92,5600,11.31,36.0,B,B3,,RENT,20166.0,Not Verified,debt_consolidation,CT,39.58,2018-12-01,2018,2018-12,Current,0
93,6000,16.14,36.0,C,C4,3.0,RENT,40000.0,Source Verified,other,MD,3.75,2018-12-01,2018,2018-12,Current,0
94,16000,15.02,36.0,C,C3,4.0,OWN,50000.0,Source Verified,debt_consolidation,AL,17.79,2018-12-01,2018,2018-12,Current,0
95,15000,16.14,36.0,C,C4,3.0,RENT,60000.0,Source Verified,credit_card,GA,18.86,2018-12-01,2018,2018-12,Current,0
96,21000,15.02,60.0,C,C3,10.0,RENT,109000.0,Not Verified,debt_consolidation,WI,23.25,2018-12-01,2018,2018-12,Current,0
97,25000,20.89,60.0,D,D4,1.0,MORTGAGE,70000.0,Not Verified,debt_consolidation,NC,26.08,2018-12-01,2018,2018-12,Current,0
98,1000,8.19,36.0,A,A4,10.0,MORTGAGE,78000.0,Source Verified,other,WA,8.58,2018-12-01,2018,2018-12,Current,0
99,16000,20.89,60.0,D,D4,10.0,RENT,200000.0,Verified,credit_card,NC,14.42,2018-12-01,2018,2018-12,Current,0
100,8500,16.91,36.0,C,C5,7.0,MORTGAGE,70200.0,Not Verified,debt_consolidation,VA,3.62,2018-12-01,2018,2018-12,Current,0
101,30000,22.35,36.0,D,D5,5.0,MORTGAGE,100000.0,Source Verified,debt_consolidation,CA,30.46,2018-12-01,2018,2018-12,Fully Paid,0
102,3000,8.81,36.0,A,A5,,RENT,71250.0,Not Verified,debt_consolidation,WA,5.71,2018-12-01,2018,2018-12,Current,0
103,16000,23.4,36.0,E,E1,10.0,MORTGAGE,140000.0,Not Verified,credit_card,CA,18.39,2018-12-01,2018,2018-12,Current,0
104,8000,12.98,36.0,B,B5,4.0,MORTGAGE,95000.0,Source Verified,credit_card,MI,9.44,2018-12-01,2018,2018-12,Current,0
105,30000,17.97,60.0,D,D1,10.0,MORTGAGE,65000.0,Source Verified,debt_consolidation,CA,8.12,2018-12-01,2018,2018-12,Current,0
106,6000,14.47,36.0,C,C2,10.0,RENT,55000.0,Verified,credit_card,NY,10.65,2018-12-01,2018,2018-12,Current,0
107,5000,12.98,36.0,B,B5,2.0,RENT,80000.0,Not Verified,debt_consolidation,NY,2.39,2018-12-01,2018,2018-12,Current,0
108,10000,16.14,36.0,C,C4,0.0,MORTGAGE,90000.0,Not Verified,debt_consolidation,CA,7.85,2018-12-01,2018,2018-12,Current,0
109,20000,16.14,60.0,C,C4,10.0,MORTGAGE,30000.0,Source Verified,other,IL,38.16,2018-12-01,2018,2018-12,Current,0
110,22650,10.72,36.0,B,B2,7.0,MORTGAGE,145000.0,Not Verified,home_improvement,FL,17.06,2018-12-01,2018,2018-12,Current,0
111,10000,11.31,36.0,B,B3,2.0,OWN,35000.0,Not Verified,debt_consolidation,WA,15.6,2018-12-01,2018,2018-12,Current,0
112,24000,10.33,36.0,B,B1,10.0,MORTGAGE,100000.0,Not Verified,debt_consolidation,IL,19.14,2018-12-01,2018,2018-12,Current,0
113,4000,18.94,36.0,D,D2,0.0,MORTGAGE,37000.0,Not Verified,debt_consolidation,MO,9.34,2018-12-01,2018,2018-12,Current,0
114,30000,15.02,36.0,C,C3,10.0,RENT,90000.0,Verified,debt_consolidation,NE,22.23,2018-12-01,2018,2018-12,Current,0
115,11000,16.14,36.0,C,C4,3.0,MORTGAGE,240000.0,Not Verified,debt_consolidation,MI,9.03,2018-12-01,2018,2018-12,Current,0
116,24000,13.56,60.0,C,C1,10.0,MORTGAGE,125000.0,Source Verified,credit_card,IL,25.29,2018-12-01,2018,2018-12,Current,0
117,18000,10.72,60.0,B,B2,10.0,MORTGAGE,32000.0,Verified,debt_consolidation,CA,46.63,2018-12-01,2018,2018-12,Current,0
118,18000,8.81,36.0,A,A5,0.0,RENT,40000.0,Source Verified,debt_consolidation,NY,12.81,2018-12-01,2018,2018-12,Current,0
119,5525,15.02,36.0,C,C3,10.0,RENT,118000.0,Not Verified,car,FL,3.25,2018-12-01,2018,2018-12,Current,0
120,2525,16.91,36.0,C,C5,1.0,RENT,21000.0,Verified,credit_card,FL,15.89,2018-12-01,2018,2018-12,Current,0
121,32000,14.47,60.0,C,C2,10.0,MORTGAGE,110000.0,Source Verified,home_improvement,PA,26.11,2018-12-01,2018,2018-12,Current,0
122,16000,25.34,36.0,E,E3,2.0,RENT,52000.0,Verified,debt_consolidation,VA,21.26,2018-12-01,2018,2018-12,Current,0
123,16000,14.47,36.0,C,C2,0.0,RENT,200000.0,Source Verified,debt_consolidation,PA,23.53,2018-12-01,2018,2018-12,Current,0
124,18500,12.98,60.0,B,B5,5.0,RENT,96500.0,Source Verified,credit_card,MN,27.86,2018-12-01,2018,2018-12,Current,0
125,3000,10.72,36.0,B,B2,,MORTGAGE,30000.0,Not Verified,credit_card,TX,24.2,2018-12-01,2018,2018-12,Current,0
126,23000,19.92,60.0,D,D3,,OWN,75000.0,Not Verified,debt_consolidation,NY,32.14,2018-12-01,2018,2018-12,Current,0
127,1500,17.97,36.0,D,D1,10.0,MORTGAGE,56160.0,Verified,other,MD,26.58,2018-12-01,2018,2018-12,Current,0
128,24000,12.98,60.0,B,B5,10.0,MORTGAGE,380000.0,Not Verified,debt_consolidation,LA,7.05,2018-12-01,2018,2018-12,Current,0
129,5000,16.14,36.0,C,C4,3.0,RENT,50000.0,Source Verified,credit_card,CA,3.35,2018-12-01,2018,2018-12,Current,0
130,25000,10.33,36.0,B,B1,10.0,MORTGAGE,80000.0,Not Verified,debt_consolidation,SC,31.23,2018-12-01,2018,2018-12,Current,0
131,2500,20.89,36.0,D,D4,3.0,RENT,29000.0,Source Verified,other,NY,2.57,2018-12-01,2018,2018-12,Current,0
132,12000,14.47,60.0,C,C2,10.0,RENT,62000.0,Not Verified,debt_consolidation,NH,18.76,2018-12-01,2018,2018-12,Current,0
133,9600,23.4,36.0,E,E1,3.0,RENT,100000.0,Not Verified,small_business,OH,15.79,2018-12-01,2018,2018-12,Current,0
134,10000,11.31,36.0,B,B3,,MORTGAGE,10020.0,Verified,other,CA,123.47,2018-12-01,2018,2018-12,Current,0
135,7000,15.02,36.0,C,C3,7.0,MORTGAGE,52000.0,Not Verified,debt_consolidation,RI,20.89,2018-12-01,2018,2018-12,Current,0
136,8000,23.4,36.0,E,E1,1.0,RENT,49400.0,Verified,other,CA,23.92,2018-12-01,2018,2018-12,Current,0
137,5000,16.14,36.0,C,C4,0.0,MORTGAGE,115000.0,Not Verified,other,NE,17.07,2018-12-01,2018,2018-12,Current,0
138,10000,10.33,36.0,B,B1,0.0,MORTGAGE,280000.0,Not Verified,debt_consolidation,OR,6.15,2018-12-01,2018,2018-12,Current,0
139,8000,10.33,36.0,B,B1,6.0,MORTGAGE,38000.0,Source Verified,credit_card,PA,19.84,2018-12-01,2018,2018-12,Current,0
140,4000,18.94,36.0,D,D2,,RENT,19000.0,Not Verified,major_purchase,CA,21.29,2018-12-01,2018,2018-12,Current,0
141,24000,11.31,60.0,B,B3,1.0,MORTGAGE,72000.0,Not Verified,debt_consolidation,IL,21.12,2018-12-01,2018,2018-12,Current,0
142,25000,16.14,60.0,C,C4,5.0,MORTGAGE,45000.0,Not Verified,debt_consolidation,LA,37.09,2018-12-01,2018,2018-12,Current,0
143,3000,17.97,36.0,D,D1,7.0,MORTGAGE,33000.0,Source Verified,other,TX,7.31,2018-12-01,2018,2018-12,Current,0
144,35000,18.94,60.0,D,D2,10.0,RENT,90000.0,Source Verified,debt_consolidation,OH,13.96,2018-12-01,2018,2018-12,Current,0
145,8800,16.91,36.0,C,C5,0.0,MORTGAGE,21000.0,Not Verified,debt_consolidation,TX,32.69,2018-12-01,2018,2018-12,Current,0
146,10500,11.8,60.0,B,B4,,OWN,36000.0,Verified,debt_consolidation,AZ,30.57,2018-12-01,2018,2018-12,Current,0
147,25000,14.47,60.0,C,C2,3.0,MORTGAGE,65000.0,Verified,credit_card,VT,29.36,2018-12-01,2018,2018-12,Current,0
148,5500,11.31,36.0,B,B3,5.0,MORTGAGE,98000.0,Not Verified,debt_consolidation,TX,14.62,2018-12-01,2018,2018-12,Current,0
149,12000,14.47,60.0,C,C2,6.0,MORTGAGE,39000.0,Source Verified,debt_consolidation,NY,16.06,2018-12-01,2018,2018-12,Current,0
150,8500,16.14,36.0,C,C4,8.0,MORTGAGE,80000.0,Not Verified,home_improvement,TX,16.59,2018-12-01,2018,2018-12,Current,0
151,35000,20.89,60.0,D,D4,10.0,RENT,80000.0,Verified,other,TX,36.84,2018-12-01,2018,2018-12,Current,0
152,8250,17.97,36.0,D,D1,10.0,MORTGAGE,68000.0,Not Verified,debt_consolidation,AL,26.42,2018-12-01,2018,2018-12,Current,0
153,40000,16.14,60.0,C,C4,0.0,MORTGAGE,45000.0,Verified,credit_card,OH,50.53,2018-12-01,2018,2018-12,Fully Paid,0
154,20000,10.33,36.0,B,B1,10.0,MORTGAGE,60000.0,Not Verified,debt_consolidation,OH,17.66,2018-12-01,2018,2018-12,Current,0
155,18000,8.81,36.0,A,A5,3.0,RENT,100203.0,Not Verified,debt_consolidation,DC,12.3,2018-12-01,2018,2018-12,Current,0
156,11000,14.47,36.0,C,C2,10.0,MORTGAGE,89000.0,Not Verified,debt_consolidation,NJ,24.82,2018-12-01,2018,2018-12,Current,0
157,12000,16.14,36.0,C,C4,4.0,RENT,70000.0,Source Verified,credit_card,FL,18.96,2018-12-01,2018,2018-12,Current,0
158,15000,13.56,60.0,C,C1,0.0,RENT,72000.0,Not Verified,credit_card,GA,8.98,2018-12-01,2018,2018-12,Current,0
159,4000,16.91,36.0,C,C5,5.0,RENT,54000.0,Source Verified,home_improvement,FL,9.64,2018-12-01,2018,2018-12,Current,0
160,32000,12.98,60.0,B,B5,4.0,MORTGAGE,70000.0,Verified,debt_consolidation,FL,20.17,2018-12-01,2018,2018-12,Current,0
161,15000,14.47,60.0,C,C2,10.0,MORTGAGE,120000.0,Source Verified,debt_consolidation,SC,13.58,2018-12-01,2018,2018-12,Current,0
162,18000,14.47,60.0,C,C2,7.0,MORTGAGE,60000.0,Verified,debt_consolidation,UT,18.12,2018-12-01,2018,2018-12,Current,0
163,13000,17.97,36.0,D,D1,10.0,MORTGAGE,92360.0,Source Verified,home_improvement,GA,27.44,2018-12-01,2018,2018-12,Current,0
164,10000,16.14,36.0,C,C4,1.0,MORTGAGE,63000.0,Not Verified,debt_consolidation,IL,18.65,2018-12-01,2018,2018-12,Current,0
165,3600,11.8,36.0,B,B4,5.0,MORTGAGE,50000.0,Source Verified,other,KY,16.11,2018-12-01,2018,2018-12,Current,0
166,22000,11.8,60.0,B,B4,10.0,MORTGAGE,155000.0,Source Verified,credit_card,IN,28.56,2018-12-01,2018,2018-12,Current,0
167,10450,18.94,36.0,D,D2,10.0,MORTGAGE,70000.0,Source Verified,debt_consolidation,TN,27.38,2018-12-01,2018,2018-12,Current,0
168,10000,11.8,36.0,B,B4,9.0,RENT,100000.0,Not Verified,credit_card,CA,23.3,2018-12-01,2018,2018-12,Current,0
169,10000,18.94,36.0,D,D2,7.0,MORTGAGE,37115.0,Not Verified,other,NV,33.57,2018-12-01,2018,2018-12,Current,0
170,5000,11.31,36.0,B,B3,2.0,RENT,40000.0,Source Verified,debt_consolidation,NC,9.66,2018-12-01,2018,2018-12,Current,0
171,20000,7.56,36.0,A,A3,10.0,MORTGAGE,100000.0,Not Verified,credit_card,WA,18.92,2018-12-01,2018,2018-12,Fully Paid,0
172,17100,18.94,36.0,D,D2,10.0,RENT,38000.0,Verified,debt_consolidation,PA,38.09,2018-12-01,2018,2018-12,Current,0
173,10475,11.31,36.0,B,B3,6.0,RENT,66150.0,Source Verified,debt_consolidation,TX,7.4,2018-12-01,2018,2018-12,Current,0
174,10000,23.4,60.0,E,E1,0.0,RENT,55000.0,Source Verified,debt_consolidation,CA,13.51,2018-12-01,2018,2018-12,Current,0
175,7500,11.31,36.0,B,B3,7.0,MORTGAGE,40500.0,Verified,debt_consolidation,IL,31.61,2018-12-01,2018,2018-12,Current,0
176,4000,10.72,36.0,B,B2,10.0,MORTGAGE,56000.0,Verified,credit_card,GA,31.03,2018-12-01,2018,2018-12,Current,0
177,15400,14.47,60.0,C,C2,3.0,MORTGAGE,110000.0,Not Verified,debt_consolidation,OH,36.55,2018-12-01,2018,2018-12,Current,0
178,35000,14.47,36.0,C,C2,8.0,MORTGAGE,360000.0,Verified,credit_card,FL,19.9,2018-12-01,2018,2018-12,Current,0
179,30000,27.27,60.0,E,E5,1.0,RENT,50000.0,Not Verified,debt_consolidation,AZ,23.62,2018-12-01,2018,2018-12,Current,0
180,16800,17.97,60.0,D,D1,10.0,RENT,75000.0,Not Verified,debt_consolidation,CA,18.53,2018-12-01,2018,2018-12,Current,0
181,25000,15.02,60.0,C,C3,10.0,MORTGAGE,75000.0,Not Verified,debt_consolidation,WA,32.93,2018-12-01,2018,2018-12,Current,0
182,10000,16.14,36.0,C,C4,10.0,MORTGAGE,94800.0,Source Verified,credit_card,FL,28.59,2018-12-01,2018,2018-12,Current,0
183,20000,12.98,60.0,B,B5,1.0,MORTGAGE,70000.0,Verified,debt_consolidation,CA,21.38,2018-12-01,2018,2018-12,Current,0
184,35000,15.02,60.0,C,C3,10.0,MORTGAGE,106095.0,Source Verified,debt_consolidation,MA,15.38,2018-12-01,2018,2018-12,Current,0
185,4000,18.94,36.0,D,D2,10.0,OWN,80000.0,Verified,other,VA,12.45,2018-12-01,2018,2018-12,Current,0
186,10000,16.14,60.0,C,C4,2.0,RENT,90000.0,Not Verified,debt_consolidation,NJ,8.8,2018-12-01,2018,2018-12,Current,0
187,4500,11.31,36.0,B,B3,10.0,RENT,38500.0,Not Verified,credit_card,TX,4.64,2018-12-01,2018,2018-12,Fully Paid,0
188,14000,26.31,60.0,E,E4,,RENT,55000.0,Not Verified,debt_consolidation,CA,7.11,2018-12-01,2018,2018-12,Current,0
189,6500,11.8,36.0,B,B4,2.0,RENT,46500.0,Source Verified,debt_consolidation,AL,21.01,2018-12-01,2018,2018-12,Current,0
190,29625,15.02,60.0,C,C3,0.0,OWN,48000.0,Not Verified,debt_consolidation,TX,16.38,2018-12-01,2018,2018-12,Current,0
191,16000,27.27,60.0,E,E5,7.0,OWN,88000.0,Source Verified,debt_consolidation,IN,28.88,2018-12-01,2018,2018-12,Current,0
