loan_amnt,int_rate,term_months,grade,purpose,addr_state,issue_year,is_default,dti_bucket
1000,23.4,36.0,E,vacation,CA,2018,0,10-20
16000,6.46,36.0,A,home_improvement,NY,2018,0,0-10
16800,11.8,36.0,B,credit_card,NE,2018,0,20-30
6500,10.33,36.0,B,debt_consolidation,IN,2018,0,20-30
6500,6.46,36.0,A,credit_card,OH,2018,0,10-20
12000,12.98,60.0,B,debt_consolidation,CA,2018,0,20-30
11500,8.19,36.0,A,credit_card,MN,2018,0,20-30
40000,8.19,36.0,A,debt_consolidation,CA,2018,0,10-20
31000,16.91,60.0,C,debt_consolidation,AZ,2018,0,30-40
20000,20.89,60.0,D,debt_consolidation,MS,2018,0,20-30
21000,15.02,60.0,C,debt_consolidation,NH,2018,0,20-30
10000,23.4,36.0,E,debt_consolidation,MO,2018,0,10-20
8400,6.46,36.0,A,credit_card,WV,2018,0,20-30
30000,10.33,60.0,B,debt_consolidation,NC,2018,0,0-10
1600,8.81,36.0,A,credit_card,KS,2018,0,0-10
13000,22.35,60.0,D,debt_consolidation,VA,2018,0,10-20
25000,11.8,60.0,B,debt_consolidation,NY,2018,0,20-30
12000,24.37,60.0,E,credit_card,CT,2018,0,10-20
2000,16.91,36.0,C,debt_consolidation,PA,2018,0,20-30
24000,10.72,60.0,B,credit_card,PA,2018,0,10-20
13000,8.81,36.0,A,debt_consolidation,NV,2018,0,0-10
15000,8.81,36.0,A,credit_card,IN,2018,0,0-10
18000,11.8,60.0,B,debt_consolidation,CA,2018,0,10-20
23000,15.02,60.0,C,debt_consolidation,CA,2018,0,10-20
12000,19.92,36.0,D,debt_consolidation,CA,2018,0,20-30
15000,13.56,60.0,C,credit_card,FL,2018,0,10-20
30000,18.94,60.0,D,debt_consolidation,FL,2018,0,10-20
20000,8.19,60.0,A,credit_card,IL,2018,0,0-10
14425,11.31,36.0,B,other,FL,2018,0,10-20
36425,11.8,60.0,B,debt_consolidation,MN,2018,0,20-30
5000,13.56,36.0,C,debt_consolidation,NY,2018,0,0-10
6000,8.81,36.0,A,credit_card,NY,2018,0,30-40
20000,12.98,36.0,B,home_improvement,AL,2018,0,10-20
12500,11.8,60.0,B,debt_consolidation,NY,2018,0,20-30
18000,11.8,60.0,B,credit_card,TX,2018,0,10-20
3000,8.19,36.0,A,debt_consolidation,NY,2018,0,0-10
3000,8.81,36.0,A,home_improvement,SC,2018,0,20-30
18000,7.02,36.0,A,home_improvement,NC,2018,0,10-20
10000,10.72,36.0,B,other,OR,2018,0,10-20
4000,17.97,36.0,D,house,TX,2018,0,10-20
20000,15.02,60.0,C,debt_consolidation,NJ,2018,0,30-40
21600,7.56,36.0,A,debt_consolidation,TX,2018,0,10-20
5000,8.81,36.0,A,debt_consolidation,FL,2018,0,10-20
10000,11.31,36.0,B,credit_card,NV,2018,0,10-20
15600,11.8,60.0,B,home_improvement,CO,2018,0,10-20
19200,18.94,60.0,D,credit_card,CA,2018,0,20-30
9375,13.56,36.0,C,credit_card,AL,2018,0,30-40
10000,12.98,60.0,B,credit_card,CA,2018,0,20-30
4000,6.46,36.0,A,debt_consolidation,CO,2018,0,10-20
2700,8.19,36.0,A,credit_card,MI,2018,0,20-30
12000,11.8,36.0,B,debt_consolidation,NY,2018,0,20-30
16000,15.02,36.0,C,medical,CA,2018,0,50+
35000,16.14,36.0,C,debt_consolidation,NY,2018,0,0-10
3000,8.81,36.0,A,credit_card,WA,2018,0,0-10
10000,19.92,60.0,D,debt_consolidation,PA,2018,0,0-10
15450,11.8,36.0,B,credit_card,MD,2018,0,20-30
40000,8.19,36.0,A,major_purchase,AZ,2018,0,10-20
7500,7.02,36.0,A,debt_consolidation,UT,2018,0,10-20
20500,10.72,36.0,B,credit_card,OR,2018,0,10-20
4500,19.92,36.0,D,home_improvement,MD,2018,0,0-10
19000,11.8,36.0,B,debt_consolidation,TX,2018,0,10-20
34800,15.02,60.0,C,debt_consolidation,MD,2018,0,20-30
25000,10.33,60.0,B,debt_consolidation,NV,2018,0,20-30
11000,11.8,60.0,B,debt_consolidation,CO,2018,0,10-20
20075,19.92,36.0,D,debt_consolidation,TX,2018,0,20-30
28000,14.47,36.0,C,debt_consolidation,MD,2018,0,10-20
15000,17.97,60.0,D,credit_card,MA,2018,0,10-20
12000,8.81,36.0,A,debt_consolidation,TX,2018,0,10-20
4000,18.94,36.0,D,credit_card,NJ,2018,0,0-10
5000,7.02,36.0,A,home_improvement,IN,2018,0,10-20
6025,19.92,36.0,D,credit_card,MA,2018,0,0-10
24000,12.98,60.0,B,debt_consolidation,OH,2018,0,20-30
1000,23.4,36.0,E,debt_consolidation,OH,2018,0,20-30
5000,14.47,36.0,C,credit_card,NY,2018,0,20-30
19375,13.56,36.0,C,major_purchase,FL,2018,0,10-20
15000,10.72,36.0,B,credit_card,NC,2018,0,10-20
14400,16.14,36.0,C,debt_consolidation,IL,2018,0,20-30
22500,15.02,60.0,C,debt_consolidation,CA,2018,0,20-30
15000,8.19,60.0,A,debt_consolidation,NY,2018,0,20-30
20000,8.19,36.0,A,debt_consolidation,PA,2018,0,30-40
15000,8.19,36.0,A,debt_consolidation,CA,2018,0,10-20
10000,22.35,60.0,D,debt_consolidation,VA,2018,0,20-30
15000,7.56,36.0,A,house,ID,2018,0,0-10
9600,8.81,36.0,A,home_improvement,NY,2018,0,10-20
10000,10.72,36.0,B,credit_card,CO,2018,0,10-20
12000,12.98,36.0,B,debt_consolidation,OR,2018,0,20-30
20000,16.91,60.0,C,debt_consolidation,LA,2018,0,20-30
24000,8.19,36.0,A,debt_consolidation,TX,2018,0,10-20
9000,10.72,36.0,B,debt_consolidation,KS,2018,0,20-30
10000,8.19,36.0,A,debt_consolidation,WA,2018,0,10-20
12000,6.46,36.0,A,debt_consolidation,NJ,2018,0,30-40
10000,11.8,60.0,B,credit_card,PA,2018,0,20-30
28000,8.81,60.0,A,debt_consolidation,WI,2018,0,10-20
7000,7.02,36.0,A,debt_consolidation,MI,2018,0,20-30
40000,10.72,60.0,B,small_business,MO,2018,0,10-20
16000,7.02,36.0,A,debt_consolidation,NY,2018,0,30-40
12000,16.91,36.0,C,debt_consolidation,CA,2018,0,10-20
10000,7.56,36.0,A,credit_card,NV,2018,0,20-30
13000,10.72,60.0,B,major_purchase,AZ,2018,0,
40000,8.19,36.0,A,debt_consolidation,OH,2018,0,20-30
15000,13.56,60.0,C,debt_consolidation,OH,2018,0,0-10
25000,15.02,60.0,C,debt_consolidation,WA,2018,0,10-20
11000,8.19,60.0,A,debt_consolidation,LA,2018,0,10-20
12000,15.02,36.0,C,debt_consolidation,NC,2018,0,30-40
15000,6.46,36.0,A,credit_card,UT,2018,0,10-20
38000,12.98,36.0,B,debt_consolidation,NH,2018,0,50+
10000,7.56,36.0,A,debt_consolidation,KY,2018,0,0-10
7000,11.31,36.0,B,debt_consolidation,TX,2018,0,10-20
25000,17.97,60.0,D,debt_consolidation,OR,2018,0,40-50
10500,7.56,36.0,A,credit_card,VA,2018,0,10-20
20000,16.14,60.0,C,debt_consolidation,WI,2018,0,40-50
6600,11.31,36.0,B,debt_consolidation,NJ,2018,0,10-20
